RestaurantID,RestaurantName,CuisineType,City,Rating,AverageCostForTwo,DeliveryAvailable,NumberOfReviews,EstablishedYear,MonthlyRevenue
R2213,Green Lounge,Italian,Paris,3.5,1540,No,1278,2006,56020
R2214,Green Grill,Japanese,Berlin,3.4,1610,Yes,851,2022,111090
R2215,Blue Corner,Korean,New York,4.1,670,Yes,1662,2019,120140
R2216,Blue Café,Chinese,Sydney,3.7,1530,No,1241,1985,127950
R2217,Green Corner,Japanese,London,4.6,530,Yes,1757,1987,136200
R2218,Street Café,Japanese,Tokyo,4.7,1200,No,520,2008,79760
R2219,Street House,Chinese,New York,2.9,650,No,1292,1992,152840
R2220,Fire House,Japanese,Paris,2.8,890,No,1413,2023,90280
R2221,Urban House,Mexican,San Francisco,4.1,1550,Yes,172,2002,57180
R2222,Red Kitchen,Italian,Dubai,3.3,430,Yes,747,1987,152540
R2223,Golden Hub,Indian,San Francisco,2.5,860,No,350,2002,90880
R2224,Fire Corner,Italian,Paris,4.7,230,Yes,941,2000,36240
R2225,Royal House,Japanese,Tokyo,3.1,200,Yes,1609,2016,38060
R2226,Red Grill,Mexican,London,4.8,530,Yes,1961,1985,105450
R2227,Red Café,French,Paris,4.3,1280,Yes,1791,2010,49330
R2228,Ocean Kitchen,Japanese,Berlin,4.4,280,Yes,539,1996,29400
R2229,Golden Palace,Korean,Paris,3.0,820,No,43,2022,97870
R2230,Green Kitchen,Mexican,Sydney,3.1,290,Yes,1857,2005,59450
R2231,Urban Grill,Chinese,London,3.8,1570,Yes,1007,1997,104210
R2232,Blue Garden,Mexican,Tokyo,2.9,1970,No,332,1996,136740
R2233,Fire Lounge,Chinese,Dubai,3.3,630,Yes,1214,1997,163970
R2234,Urban Hub,Thai,Dubai,3.3,1370,No,1996,2002,97380
R2235,Urban Bistro,Indian,Paris,2.9,1950,Yes,356,2003,186210
R2236,Royal Lounge,Mediterranean,Sydney,3.0,250,No,1739,2003,57720
R2237,Red Bistro,Mexican,New York,4.5,1400,Yes,1225,1990,143650
R2238,Spice Lounge,American,San Francisco,2.9,1710,No,1612,1991,127980
R2239,Spice Hub,Korean,San Francisco,2.6,1140,Yes,730,1991,90870
R2240,Street Garden,Japanese,San Francisco,4.1,1300,Yes,1911,2012,177750
R2241,Blue Hub,Korean,New York,4.9,1240,Yes,1712,2012,39840
R2242,Urban Bistro,Italian,Sydney,3.3,830,No,1279,2003,132870
R2243,Urban Kitchen,Mediterranean,San Francisco,2.8,1590,Yes,254,2000,30520
R2244,Green Kitchen,Italian,Berlin,3.9,1820,No,687,2001,72540
R2245,Street Corner,Thai,New York,4.8,900,Yes,1841,2006,23500
R2246,Urban Corner,Mediterranean,New York,4.5,1230,Yes,924,2003,29120
R2247,Urban Lounge,Mediterranean,Tokyo,4.1,1080,Yes,732,2013,64450
R2248,Street Lounge,Italian,Tokyo,3.3,250,No,1013,2003,127150
R2249,Blue Garden,Chinese,London,3.9,1290,No,142,2019,22910
R2250,Red Kitchen,Italian,Berlin,2.7,1310,No,1230,2009,177780
R2251,Street Café,Korean,Berlin,4.2,1760,No,919,2004,172230
R2252,Blue Grill,Chinese,London,4.3,1850,Yes,1380,2021,24670
R2253,Urban House,Korean,Berlin,4.9,1690,No,58,2003,52770
R2254,Green Grill,Thai,Toronto,3.2,1460,Yes,1097,1997,166410
R2255,Urban Garden,Japanese,Singapore,2.5,1550,No,1657,1996,133910
R2256,Golden Lounge,French,San Francisco,3.9,820,Yes,1901,1999,30640
R2257,Golden Grill,Chinese,Tokyo,4.3,1600,No,1730,1988,68880
R2258,Blue House,Thai,London,4.5,1740,Yes,1137,1999,170090
R2259,Royal Corner,American,London,3.0,1650,Yes,1964,2001,136550
R2260,Red Kitchen,Thai,Berlin,3.2,370,Yes,222,2011,151110
R2261,Spice Garden,Italian,New York,3.8,960,Yes,1550,1995,122490
R2262,Red Café,Italian,Dubai,3.3,1610,Yes,128,2007,156500
R2263,Royal Palace,French,Paris,4.7,1580,No,865,1999,88580
R2264,Royal Grill,Thai,Paris,3.7,1220,No,770,2015,20030
R2265,Blue Bistro,Indian,London,4.5,1360,Yes,688,2010,79400
R2266,Urban Corner,Japanese,San Francisco,4.0,360,Yes,904,1991,100480
R2267,Golden Corner,Italian,Toronto,4.4,1980,Yes,1275,1997,131400
R2268,Street Grill,French,San Francisco,3.3,330,No,289,1997,140490
R2269,Royal Bistro,Japanese,London,4.6,760,Yes,433,2004,166080
R2270,Golden Kitchen,Thai,San Francisco,3.2,1120,Yes,372,2018,116660
R2271,Green Hub,Thai,Tokyo,3.9,1530,Yes,1030,1994,113220
R2272,Street Bistro,Mediterranean,San Francisco,3.0,1330,Yes,1783,2021,152230
R2273,Golden Café,French,Berlin,3.7,1510,Yes,1339,2011,161660
R2274,Red Bistro,Italian,Berlin,3.3,1580,Yes,1750,2018,20010
R2275,Urban Bistro,Indian,Toronto,3.2,1280,Yes,1519,2020,113360
R2276,Royal House,Thai,Tokyo,4.9,1380,Yes,323,2000,103400
R2277,Fire Café,Indian,Dubai,2.9,1110,Yes,1546,2005,125450
R2278,Red Palace,Thai,New York,4.5,300,Yes,1716,2000,40430
R2279,Royal Corner,Italian,Tokyo,5.0,1180,Yes,1200,2001,37020
R2280,Blue Café,Japanese,Sydney,2.5,270,Yes,1427,1999,79470
R2281,Fire Grill,Mexican,Singapore,4.2,1330,Yes,779,1997,131210
R2282,Royal Kitchen,Japanese,London,3.1,1680,No,1096,2017,147620
R2283,Spice House,Thai,Sydney,2.6,840,Yes,281,1989,33870
R2284,Red Hub,Korean,Toronto,3.5,1120,No,1070,2011,153820
R2285,Royal House,Mexican,Sydney,4.8,1710,Yes,1049,1985,171130
R2286,Red Corner,Mexican,Berlin,2.5,1770,Yes,1799,2014,180750
R2287,Green Garden,Indian,San Francisco,4.0,1230,Yes,352,2007,121880
R2288,Royal Hub,French,New York,3.8,1180,Yes,355,1999,171300
R2289,Red Corner,Indian,Paris,4.7,1030,Yes,1881,2020,183250
R2290,Royal Kitchen,Indian,London,2.7,920,No,1572,2003,158500
R2291,Red Bistro,Korean,Paris,4.2,1640,No,1992,2014,64620
R2292,Royal Lounge,Japanese,San Francisco,4.2,780,Yes,1656,2000,40360
R2293,Spice Bistro,Japanese,Berlin,4.2,500,Yes,242,2002,81190
R2294,Golden House,American,Berlin,4.9,830,Yes,999,2010,189210
R2295,Green Hub,Thai,San Francisco,4.6,670,Yes,585,2001,109820
R2296,Fire Palace,Korean,London,2.6,420,No,1642,1995,88630
R2297,Green Hub,American,Paris,3.7,1770,Yes,425,2013,159890
R2298,Ocean Café,Italian,Tokyo,3.5,740,No,914,1993,71780
R2299,Blue House,Thai,Berlin,3.3,260,Yes,276,2001,149470
R2300,Spice House,Thai,Paris,3.6,1310,Yes,1006,2011,134410
R2301,Golden Lounge,Mediterranean,Dubai,3.5,1250,Yes,1359,2021,185450
R2302,Urban Hub,Mediterranean,Paris,3.6,1170,Yes,1959,2006,141040
R2303,Red Hub,Chinese,Dubai,4.9,310,Yes,753,1992,153470
R2304,Green House,Chinese,Dubai,2.7,790,Yes,920,1987,46340
R2305,Street Café,Indian,Berlin,4.8,710,Yes,452,2022,71010
R2306,Ocean Bistro,Italian,London,3.7,1740,Yes,569,2019,198930
R2307,Royal Lounge,Mexican,Toronto,4.1,1590,Yes,1895,2016,106710
R2308,Ocean House,Mexican,Berlin,4.6,1600,Yes,1755,1992,152440
R2309,Urban Café,Mediterranean,London,3.4,910,No,85,2011,144460
R2310,Ocean House,Mediterranean,London,3.6,1440,No,256,2016,59990
R2311,Royal Café,Mediterranean,Sydney,3.5,1760,Yes,1861,2020,120280
R2312,Royal Corner,Korean,San Francisco,3.4,1820,Yes,589,2018,183760
R2313,Red House,French,San Francisco,4.8,790,Yes,322,2009,134060
R2314,Urban Corner,Chinese,San Francisco,4.6,1760,No,585,2015,62110
R2315,Spice Palace,Korean,Singapore,2.8,500,Yes,1727,1997,187750
R2316,Urban Grill,Japanese,Berlin,2.8,960,Yes,1625,1999,136060
R2317,Blue Hub,Mexican,London,3.6,950,Yes,352,1997,136360
R2318,Urban Palace,Thai,Sydney,2.7,800,No,724,2017,99510
R2319,Golden Garden,Chinese,Dubai,4.0,210,Yes,1215,2015,32380
R2320,Golden Hub,American,Toronto,2.9,1800,Yes,1988,2009,27400
R2321,Ocean Corner,Japanese,Toronto,3.8,1400,Yes,993,2007,143240
R2322,Green Palace,Chinese,Dubai,2.5,780,Yes,735,2022,130350
R2323,Royal Hub,Korean,Paris,3.3,590,No,1968,1987,117270
R2324,Green Grill,Italian,Paris,4.2,1960,Yes,641,2000,23680
R2325,Urban Café,Thai,San Francisco,3.7,510,No,408,1986,124630
R2326,Fire Hub,Chinese,Berlin,4.9,570,Yes,1274,2007,69090
R2327,Red House,French,Singapore,4.7,1110,Yes,1880,2018,72190
R2328,Ocean Hub,Mediterranean,Sydney,3.4,1070,No,723,2014,112900
R2329,Spice Café,Mediterranean,Toronto,2.6,1600,Yes,933,1994,96040
R2330,Spice Café,Thai,San Francisco,4.6,1040,Yes,301,1985,170380
R2331,Red Lounge,Korean,New York,4.8,950,Yes,63,2006,115830
R2332,Green Corner,Mediterranean,San Francisco,4.6,1470,No,1178,2017,82060
R2333,Green Palace,Chinese,New York,2.8,320,Yes,1389,2009,122230
R2334,Spice Grill,American,Tokyo,5.0,580,No,1631,2006,182930
R2335,Spice Garden,Mexican,London,3.1,420,Yes,992,2000,114640
R2336,Red Palace,Mexican,Dubai,4.3,1290,No,486,2014,39790
R2337,Spice Bistro,Japanese,London,4.8,1260,Yes,31,2002,86120
R2338,Green Hub,Indian,San Francisco,3.1,1110,Yes,1364,2008,80220
R2339,Golden Kitchen,Italian,London,4.8,1610,Yes,1325,1989,80810
R2340,Royal Lounge,Thai,Sydney,3.3,1640,No,1269,2021,117680
R2341,Golden House,Japanese,Tokyo,4.9,430,No,1062,2007,98320
R2342,Street Garden,Indian,Singapore,3.2,530,Yes,704,2011,196390
R2343,Ocean Lounge,Korean,Tokyo,4.9,1980,Yes,1971,1996,22990
R2344,Fire Kitchen,French,Toronto,2.6,1310,Yes,169,1994,164960
R2345,Golden Grill,French,Sydney,4.3,1570,Yes,919,2018,162290
R2346,Fire Corner,Italian,London,3.8,1370,Yes,539,2017,196640
R2347,Fire Palace,Mediterranean,Singapore,3.7,1680,Yes,1583,2000,150280
R2348,Green Bistro,Chinese,London,3.1,1840,Yes,110,2013,65890
R2349,Blue Kitchen,Japanese,Berlin,4.3,260,Yes,1323,2002,101330
R2350,Red Palace,Japanese,Berlin,3.0,1090,No,1410,2011,86320
R2351,Fire Kitchen,Thai,Paris,3.9,320,Yes,1206,1991,174590
R2352,Ocean Garden,Thai,Tokyo,3.1,990,Yes,352,2020,93980
R2353,Ocean Garden,French,Singapore,4.9,490,Yes,1961,2011,143770
R2354,Urban Grill,French,Berlin,2.6,1780,Yes,1911,1994,113030
R2355,Ocean Garden,American,Paris,3.0,1520,Yes,588,1994,112870
R2356,Royal Café,American,Sydney,3.1,1790,Yes,1224,1995,158670
R2357,Red Grill,Mediterranean,Singapore,3.5,350,Yes,1472,2014,43000
R2358,Fire Corner,American,Paris,3.1,1690,Yes,1588,1987,172650
R2359,Blue Bistro,Chinese,Dubai,3.7,1910,No,1668,2013,59910
R2360,Golden Lounge,Chinese,Singapore,4.7,590,Yes,799,1998,188970
R2361,Urban Lounge,Japanese,San Francisco,4.3,560,Yes,1376,1997,62310
R2362,Ocean Lounge,Mexican,Paris,3.9,970,No,1741,2003,128680
R2363,Golden Garden,Chinese,London,2.7,350,Yes,854,2009,85520
R2364,Street Kitchen,Indian,San Francisco,4.2,620,Yes,134,1994,103120
R2365,Green Café,French,Dubai,2.9,820,Yes,1641,1999,116930
R2366,Street House,Thai,Berlin,4.5,340,Yes,899,2012,31170
R2367,Urban Bistro,American,New York,3.1,1910,Yes,678,2022,131830
R2368,Urban Lounge,Japanese,Paris,3.5,1560,Yes,1585,1991,118150
R2369,Street Hub,Italian,Sydney,3.4,840,No,1393,1998,98610
R2370,Street Hub,Thai,Paris,4.6,630,Yes,512,2014,42380
R2371,Green Café,Indian,New York,2.8,390,Yes,182,1996,86000
R2372,Red Corner,American,Dubai,3.9,1380,Yes,896,2012,160310
R2373,Golden Kitchen,Indian,Dubai,2.9,1310,Yes,1427,1998,44330
R2374,Blue Lounge,French,San Francisco,4.3,1420,Yes,1494,1985,91660
R2375,Ocean Palace,French,Singapore,4.8,1800,No,1718,1988,63730
R2376,Royal Hub,Mediterranean,Sydney,3.6,990,No,129,2002,101460
R2377,Spice Bistro,Japanese,San Francisco,3.7,1190,Yes,282,2020,34710
R2378,Royal House,Thai,Sydney,4.8,250,Yes,1391,2016,110180
R2379,Royal Corner,Korean,Sydney,3.8,1020,No,1419,2012,198120
R2380,Red Grill,Korean,New York,3.7,500,Yes,922,2012,170290
R2381,Red Palace,Thai,San Francisco,3.9,850,Yes,885,2022,63060
R2382,Green House,Italian,Sydney,4.2,370,Yes,867,2016,151770
R2383,Ocean Palace,Japanese,Toronto,2.8,470,No,1920,1992,57810
R2384,Spice Grill,Indian,New York,4.6,870,Yes,1967,2009,86880
R2385,Green House,Italian,Dubai,3.6,1330,No,1966,2004,193900
R2386,Golden Grill,Mexican,New York,2.7,1920,Yes,1352,2017,36370
R2387,Fire Garden,Thai,London,4.5,770,Yes,270,2014,71110
R2388,Red Corner,Indian,London,3.4,1940,Yes,1314,2021,146850
R2389,Blue Palace,Korean,Sydney,2.8,1990,Yes,1362,2000,48610
R2390,Spice Corner,Chinese,San Francisco,4.1,1830,No,1157,2009,190220
R2391,Golden Bistro,Mediterranean,Dubai,4.7,1480,Yes,1509,2022,106840
R2392,Red Corner,Korean,New York,4.7,580,Yes,287,1994,77250
R2393,Ocean Palace,Japanese,San Francisco,4.9,1250,Yes,102,1989,138490
R2394,Spice Palace,French,New York,4.7,200,Yes,968,1992,34850
R2395,Urban Lounge,Chinese,New York,2.5,940,Yes,1580,2017,85810
R2396,Golden Kitchen,Mediterranean,Toronto,3.5,1070,Yes,832,2021,72210
R2397,Street Bistro,Mediterranean,London,4.5,1610,Yes,137,1985,181270
R2398,Green Lounge,Mexican,New York,3.4,1700,No,541,2015,70320
R2399,Green Palace,Mexican,Toronto,4.0,1900,Yes,782,1991,84260
R2400,Royal Lounge,American,London,4.0,1690,No,176,2007,60090
R2401,Street Hub,Korean,Toronto,3.4,790,Yes,840,2008,170950
R2402,Ocean Kitchen,Korean,San Francisco,4.8,1740,Yes,245,1998,83070
R2403,Urban Palace,Korean,Singapore,3.8,1490,Yes,1065,2007,51280
R2404,Green Hub,American,London,3.7,1860,No,1264,1993,63010
R2405,Street Corner,Italian,Berlin,5.0,1980,Yes,200,1992,80270
R2406,Royal House,Mediterranean,Singapore,3.7,1290,No,1875,1992,176600
R2407,Urban House,Chinese,San Francisco,2.9,380,Yes,1969,1987,142450
R2408,Street Palace,Japanese,New York,3.8,810,Yes,666,2016,173800
R2409,Street Grill,Mediterranean,Dubai,4.5,900,Yes,622,1988,193300
R2410,Spice Palace,Mexican,San Francisco,4.4,1300,Yes,1624,2022,54400
R2411,Golden Café,Indian,Toronto,4.5,1520,Yes,1541,1986,35450
R2412,Street Grill,French,Toronto,4.3,910,No,1490,1993,148440
R2413,Royal Hub,American,Toronto,3.1,970,No,1705,1985,20290
R2414,Spice Kitchen,Thai,Toronto,4.7,1190,No,264,1995,116630
R2415,Red Café,Indian,San Francisco,4.7,900,No,1312,2013,197930
R2416,Red House,Japanese,Dubai,3.0,260,No,1733,2010,56790
R2417,Spice Lounge,Korean,Paris,2.8,690,No,982,2011,167640
R2418,Spice Corner,Mexican,Toronto,4.9,650,Yes,1755,2022,21250
R2419,Ocean Grill,Mexican,Paris,4.7,910,Yes,1786,2013,69080
R2420,Spice Corner,Mexican,Dubai,4.7,950,Yes,1089,2017,86420
R2421,Fire Corner,Korean,Dubai,4.7,930,Yes,658,2012,108450
R2422,Ocean Lounge,Thai,Singapore,3.9,1610,No,115,2015,156480
R2423,Ocean Corner,American,London,4.1,920,Yes,1614,2003,109320
R2424,Red Corner,Indian,Berlin,3.9,1210,Yes,1735,2010,99530
R2425,Red Lounge,Korean,Sydney,2.6,1130,Yes,201,2013,131830
R2426,Street Kitchen,Japanese,Berlin,4.4,880,Yes,1012,1995,127690
R2427,Royal Lounge,American,San Francisco,3.8,840,Yes,1311,2016,129310
R2428,Spice Grill,Japanese,Sydney,4.1,810,Yes,1577,2005,78870
R2429,Green Corner,American,Dubai,3.8,390,Yes,184,2022,48210
R2430,Fire Garden,Thai,Berlin,3.7,1730,Yes,1803,2018,167540
R2431,Golden Café,French,Tokyo,2.9,630,Yes,644,2006,180250
R2432,Urban House,Japanese,London,3.2,810,Yes,94,2011,182180
R2433,Green Kitchen,Korean,Berlin,2.9,1260,Yes,957,1992,134210
R2434,Blue Kitchen,American,London,3.0,1440,Yes,737,2015,33950
R2435,Royal Corner,Mexican,Paris,4.9,640,Yes,1249,1985,59610
R2436,Blue Lounge,Mediterranean,San Francisco,2.9,300,No,1047,2023,46140
R2437,Blue Garden,Mexican,London,3.2,1810,Yes,1070,2018,170530
R2438,Golden Garden,Italian,Paris,4.0,1070,No,1060,2008,199280
R2439,Ocean Grill,French,Toronto,4.0,650,No,1697,2012,72250
R2440,Urban Kitchen,French,Paris,2.9,1310,No,1609,1988,140930
R2441,Ocean Café,Mexican,San Francisco,4.5,1000,Yes,79,2002,167020
R2442,Street Lounge,Indian,Singapore,4.5,510,Yes,163,2013,146890
R2443,Blue Palace,Thai,Toronto,3.1,1170,Yes,1471,2007,99860
R2444,Royal Kitchen,Japanese,Dubai,3.2,240,Yes,774,2021,166600
R2445,Urban Bistro,Korean,New York,4.8,480,No,280,2011,146600
R2446,Spice Kitchen,French,Paris,4.6,670,Yes,550,2000,90340
R2447,Urban House,Mexican,Paris,4.2,350,No,1107,2011,116370
R2448,Green House,Mexican,London,2.7,1720,No,1829,1993,155800
R2449,Ocean House,Thai,Dubai,3.5,910,Yes,580,1989,121600
R2450,Blue Café,Thai,Berlin,3.9,480,Yes,1788,1992,194800
R2451,Red Palace,Chinese,Tokyo,3.0,1990,Yes,1874,2002,32040
R2452,Fire Palace,Chinese,Sydney,3.6,650,Yes,158,2019,121120
R2453,Golden Bistro,Indian,Paris,4.0,1720,Yes,1539,1990,55830
R2454,Green Garden,Indian,Berlin,3.3,420,No,19,2007,182560
R2455,Ocean House,Italian,Tokyo,4.5,1810,Yes,653,2010,133310
R2456,Fire Grill,Indian,Sydney,4.6,1130,Yes,1535,2023,95390
R2457,Golden Kitchen,American,New York,3.3,1330,Yes,71,2008,136110
R2458,Street Lounge,Thai,London,4.6,530,Yes,1421,1994,40380
R2459,Spice Café,Korean,Berlin,2.8,1790,Yes,1928,1999,102230
R2460,Spice Kitchen,American,London,4.6,1360,Yes,783,2022,121600
R2461,Fire Bistro,Japanese,Sydney,2.9,480,Yes,1763,2004,135220
R2462,Blue Grill,Mexican,Singapore,2.7,280,Yes,1265,2013,55680
R2463,Blue Bistro,Indian,Paris,4.1,580,Yes,1881,1990,133140
R2464,Fire Grill,Mexican,Toronto,3.7,1540,Yes,1617,1993,102980
R2465,Golden House,French,Tokyo,4.8,1290,No,537,1989,22010
R2466,Fire House,Italian,Dubai,3.4,880,Yes,1583,2023,99560
R2467,Red Garden,French,San Francisco,3.2,1550,Yes,1722,2003,93850
R2468,Red Café,Italian,Paris,3.8,1150,Yes,454,1989,80070
R2469,Urban Kitchen,Chinese,Toronto,3.6,1380,Yes,1354,2004,37940
R2470,Blue Corner,Mexican,San Francisco,3.4,1370,No,1927,1995,34080
R2471,Street Garden,Italian,Berlin,4.2,370,No,1116,2011,29160
R2472,Spice House,Mediterranean,San Francisco,4.4,1210,Yes,1467,2013,97780
R2473,Royal Hub,American,New York,4.6,1290,No,26,1991,118760
R2474,Royal Bistro,Italian,Paris,4.9,1010,No,378,1987,164400
R2475,Blue Garden,Italian,London,3.2,1960,Yes,1701,1989,83460
R2476,Urban Kitchen,American,Singapore,4.3,1240,No,693,1997,178690
R2477,Street House,Mexican,Dubai,3.5,350,Yes,917,2000,51660
R2478,Golden Grill,Mexican,London,4.2,400,Yes,1615,1996,93440
R2479,Red Kitchen,American,Toronto,3.7,1570,No,592,2023,184480
R2480,Urban Garden,French,Paris,5.0,1250,Yes,264,2011,56500
R2481,Blue Corner,Mediterranean,Singapore,4.3,1510,No,465,2017,167150
R2482,Ocean Corner,Korean,San Francisco,4.9,630,Yes,652,1999,83980
R2483,Golden Palace,Japanese,Paris,4.6,1420,No,570,2005,40150
R2484,Spice Palace,Mediterranean,San Francisco,4.8,1550,Yes,542,2001,179400
R2485,Blue Bistro,Mexican,Berlin,4.5,1300,Yes,1425,2021,60240
R2486,Red Palace,Korean,New York,3.6,1360,Yes,329,1999,108040
R2487,Urban House,Chinese,Sydney,3.1,1450,No,229,2004,108430
R2488,Fire Lounge,Indian,Paris,3.4,380,Yes,708,2003,150050
R2489,Royal Corner,Italian,Toronto,2.6,830,Yes,1447,1985,33870
R2490,Urban Corner,American,San Francisco,3.8,590,Yes,41,1988,67630
R2491,Royal Kitchen,American,London,3.8,700,Yes,724,1987,75350
R2492,Royal Palace,Italian,Berlin,3.8,1560,No,1821,1992,140200
R2493,Blue House,Indian,Toronto,4.9,1770,Yes,763,1989,51280
R2494,Royal Bistro,Japanese,Dubai,4.8,750,Yes,1049,1993,70850
R2495,Royal Bistro,Indian,Sydney,2.9,1000,Yes,418,1985,132970
R2496,Spice Café,Korean,Berlin,3.4,1910,Yes,837,2014,189210
R2497,Blue Palace,Indian,New York,3.6,1620,Yes,182,1991,182570
R2498,Royal Lounge,Korean,Sydney,3.4,890,No,1682,2006,79980
R2499,Fire Corner,Indian,San Francisco,4.5,1470,No,1212,2004,160230
R2500,Blue Hub,Japanese,Toronto,3.8,1450,Yes,1904,2013,133690
R2501,Urban Hub,Japanese,Dubai,3.9,800,Yes,1606,2011,125140
R2502,Green Lounge,Mexican,Tokyo,4.6,990,No,1530,2009,111540
R2503,Ocean Lounge,Italian,New York,4.5,1400,Yes,945,2019,32430
R2504,Royal Garden,Japanese,Singapore,2.8,1200,Yes,1137,2011,120610
R2505,Royal Hub,Korean,San Francisco,4.3,1700,Yes,1350,1995,36530
R2506,Green Lounge,Japanese,Tokyo,3.6,960,Yes,716,2001,99740
R2507,Spice Lounge,Mexican,Paris,3.2,1940,Yes,1801,2015,114910
R2508,Golden Grill,American,Dubai,2.6,1640,No,985,2002,43040
R2509,Ocean Grill,Korean,London,3.7,1450,Yes,1621,2003,134980
R2510,Golden Garden,Mexican,Singapore,3.4,1990,No,792,2022,143380
R2511,Royal Corner,French,Toronto,3.1,410,Yes,1214,2013,58140
R2512,Street Grill,French,Dubai,4.2,1020,Yes,141,1999,145090
R2513,Golden House,Chinese,Sydney,4.4,1860,Yes,672,1991,70380
R2514,Ocean Kitchen,Indian,Berlin,3.1,1600,No,1188,2021,180250
R2515,Ocean Bistro,Italian,Sydney,2.6,970,Yes,368,2021,153650
R2516,Red Palace,Thai,Sydney,4.6,1140,Yes,1268,1991,57810
R2517,Ocean Corner,Mediterranean,Paris,2.5,1280,No,769,2006,39580
R2518,Green Corner,Mexican,New York,4.8,1290,No,174,1996,196800
R2519,Ocean Grill,American,London,4.1,710,No,726,1992,83410
R2520,Golden Hub,Mediterranean,Singapore,3.3,1220,Yes,436,2002,112240
R2521,Street Bistro,American,New York,3.1,1200,No,686,2012,70820
R2522,Red Garden,Mediterranean,Dubai,2.5,1610,Yes,497,2002,93010
R2523,Golden Café,Mexican,Sydney,3.1,820,No,222,2015,162750
R2524,Green Lounge,Thai,Paris,2.8,470,No,1958,2001,173750
R2525,Urban Café,Mediterranean,Dubai,4.0,650,No,775,2007,198590
R2526,Blue Garden,Mexican,Berlin,2.9,470,No,166,1995,44070
R2527,Fire Corner,Japanese,London,3.8,210,Yes,1722,1999,193190
R2528,Blue Hub,Thai,Singapore,4.0,1460,No,1108,2014,152450
R2529,Street Lounge,Korean,Berlin,3.2,360,Yes,444,2015,131590
R2530,Street Bistro,American,Paris,2.6,780,No,1211,1990,74150
R2531,Golden Garden,French,London,2.6,1990,No,1829,1996,42450
R2532,Ocean Café,Indian,Dubai,2.6,1510,Yes,851,2007,85720
R2533,Red Corner,French,Sydney,4.3,960,Yes,654,2023,59500
R2534,Street Palace,Thai,Sydney,3.3,1500,No,1670,2020,120060
R2535,Urban Palace,Korean,San Francisco,4.5,1340,Yes,321,2019,94850
R2536,Ocean Palace,American,Sydney,3.6,1840,Yes,1865,1987,196800
R2537,Royal Lounge,Korean,Tokyo,3.6,1160,Yes,136,2012,36470
R2538,Spice Corner,Mediterranean,Sydney,3.8,1240,Yes,386,1999,170450
R2539,Ocean Café,American,Tokyo,4.3,430,Yes,1378,1997,113560
R2540,Royal House,Mediterranean,Toronto,3.2,540,Yes,234,2003,100920
R2541,Red Café,Mexican,Tokyo,2.8,210,Yes,1050,2002,52440
R2542,Golden House,Thai,London,3.9,520,No,506,2015,60250
R2543,Red Palace,Mexican,Berlin,3.3,950,Yes,482,2021,138920
R2544,Red Bistro,Chinese,London,3.6,1050,Yes,1898,2005,106940
R2545,Green Lounge,Korean,Berlin,4.1,1570,Yes,1344,2023,158770
R2546,Ocean Lounge,Mediterranean,San Francisco,3.7,1000,Yes,1791,1989,110020
R2547,Fire Grill,Japanese,Toronto,4.1,810,Yes,1170,2001,27850
R2548,Blue Café,Mexican,Berlin,3.9,620,No,484,2003,22270
R2549,Spice Grill,Chinese,Berlin,4.3,1400,Yes,226,1988,69470
R2550,Golden Café,Italian,Paris,4.3,780,Yes,205,2010,94770
R2551,Red Palace,French,New York,3.8,280,No,210,2008,192110
R2552,Red Palace,American,New York,4.2,960,Yes,375,2023,187620
R2553,Green Kitchen,Chinese,Paris,4.7,820,Yes,728,2022,158940
R2554,Fire Café,Thai,Sydney,3.6,710,No,1561,2003,122170
R2555,Red Corner,Mexican,Paris,3.5,420,Yes,409,2014,167200
R2556,Blue Bistro,Thai,Berlin,4.4,490,No,1558,2010,82560
R2557,Ocean Café,French,Berlin,4.0,1900,Yes,599,1995,135560
R2558,Fire Corner,Japanese,Paris,2.7,400,Yes,223,2023,135680
R2559,Fire Lounge,Korean,Paris,4.7,620,No,350,1987,104820
R2560,Urban Grill,Korean,Sydney,2.6,1540,Yes,1362,2006,96880
R2561,Fire Hub,Thai,London,4.4,350,Yes,968,2001,20590
R2562,Spice Bistro,Mediterranean,Toronto,4.4,420,No,128,1995,74310
R2563,Fire Café,Japanese,Dubai,4.9,1060,Yes,1458,2023,164240
R2564,Street House,Korean,Berlin,2.6,500,No,1726,2011,53390
R2565,Ocean Palace,Japanese,Toronto,4.0,1400,No,845,2013,56540
R2566,Street Garden,Chinese,Paris,3.6,880,Yes,851,1996,151870
R2567,Red Grill,Japanese,Sydney,3.3,1530,Yes,876,1997,75480
R2568,Street Palace,Indian,Tokyo,2.7,1340,Yes,1406,1995,185850
R2569,Green Grill,French,Sydney,3.9,780,No,1682,2015,90870
R2570,Red Garden,Korean,Singapore,3.7,1750,Yes,1212,1995,153340
R2571,Ocean Corner,Japanese,Singapore,2.8,1650,Yes,1465,2020,106620
R2572,Golden Palace,Thai,Toronto,4.0,960,Yes,1753,1986,99430
R2573,Urban Kitchen,Italian,New York,4.3,1570,Yes,954,2007,53560
R2574,Street Café,Indian,Singapore,4.4,260,Yes,411,2020,125480
R2575,Fire Corner,Indian,Singapore,4.8,560,No,1427,1998,59730
R2576,Spice House,Mediterranean,London,3.5,1920,Yes,892,2021,150200
R2577,Green Bistro,Japanese,Tokyo,4.9,1050,Yes,575,2011,127750
